year,session,paper,item,normalized_topic,domain,tags,source_id,confidence,completeness,notes
2023,H2,essay,1,软件可靠性,quality,reliability|quality_attribute,SRC-2023-ESSAY,C,partial,仅找到一个公开回忆主题不代表当次全部可选题
2024,H1,case,1,系统架构评估与质量属性,quality,architecture_evaluation|microservices|quality_scenario,SRC-2024-H1-CASE,C,partial,考生回忆摘要
2024,H1,case,2,Redis分布式锁,data_platform,redis|distributed_lock|consistency,SRC-2024-H1-CASE,C,partial,考生回忆摘要
2024,H1,case,3,系统设计与空间数据存储,data_platform,mongodb|spatial_data|tiered_storage,SRC-2024-H1-CASE,C,partial,考生回忆摘要
2024,H1,essay,1,Lambda大数据架构,data_platform,big_data|lambda_architecture|batch_stream,SRC-2024-H1-ESSAY,C,substantive,主题级记录
2024,H1,essay,2,模型驱动架构,architecture_style,mda|modeling|software_process,SRC-2024-H1-ESSAY,C,substantive,主题级记录
2024,H1,essay,3,单元测试与回归测试,testing_ops,unit_test|white_box|regression,SRC-2024-H1-ESSAY,C,substantive,主题级记录
2024,H1,essay,4,云上自动化运维,testing_ops,cloudops|automation|observability,SRC-2024-H1-ESSAY,C,substantive,主题级记录
2024,H2,case,1,质量属性与心跳机制,quality,quality_attribute|heartbeat|availability,SRC-2024-H2-RECALL,C,partial,单一考生回忆
2024,H2,case,2,Cache-Aside与缓存一致性,data_platform,cache_aside|consistency|database,SRC-2024-H2-RECALL,C,partial,单一考生回忆
2024,H2,case,3,Elasticsearch分词与REST,data_platform,elasticsearch|rest|search,SRC-2024-H2-RECALL,C,partial,单一考生回忆
2024,H2,case,4,风险驱动的架构分析,quality,risk_driven|architecture_analysis,SRC-2024-H2-RECALL,C,partial,单一考生回忆
2024,H2,case,5,ROS2与嵌入式通信,embedded_iot,ros2|embedded|communication,SRC-2024-H2-RECALL,C,partial,单一考生回忆
2024,H2,essay,1,多源异构数据集成,data_platform,data_integration|heterogeneous_data,SRC-2024-H2-RECALL,C,partial,未找到独立交叉来源
2024,H2,essay,2,面向服务架构,architecture_style,soa|service_oriented,SRC-2024-H2-ESSAY-1,B,substantive,优路与考生回忆相互印证
2024,H2,essay,3,软件维护与演化,testing_ops,maintenance|evolution,SRC-2024-H2-RECALL,C,partial,未找到独立交叉来源
2024,H2,essay,4,分布式事务及解决方案,data_platform,distributed_transaction|consistency,SRC-2024-H2-ESSAY-1,B,substantive,优路与考生回忆相互印证
2025,H1,essay,1,负载均衡设计,high_concurrency,load_balancing|availability|scalability,SRC-2025-H1-ESSAY,C,substantive,主题级记录
2025,H1,essay,2,事件驱动架构,architecture_style,event_driven|messaging|decoupling,SRC-2025-H1-ESSAY,C,substantive,主题级记录
2025,H1,essay,3,多模型数据库及应用,data_platform,multi_model_database|data_architecture,SRC-2025-H1-ESSAY,C,substantive,主题级记录
2025,H1,essay,4,软件测试架构与AI测试,testing_ops,testing_architecture|ai_testing,SRC-2025-H1-ESSAY,C,substantive,主题级记录
2025,H2,essay,1,Serverless架构,architecture_style,serverless|cloud_native,SRC-2025-H2-ESSAY,C,substantive,主题级记录
2025,H2,essay,2,基于云原生数据库的企业架构,data_platform,cloud_native_database|enterprise_architecture,SRC-2025-H2-ESSAY,C,substantive,主题级记录
2025,H2,essay,3,性能测试,testing_ops,performance_testing|capacity,SRC-2025-H2-ESSAY,C,substantive,主题级记录
2025,H2,essay,4,秒杀与高并发架构,high_concurrency,flash_sale|high_concurrency|consistency,SRC-2025-H2-ESSAY,C,substantive,主题级记录
2026,H1,general,cluster,经典基础与AI知识并存,general,security|design_pattern|microservices|transformer|network,SRC-2026-H1-ANALYSIS,C,partial,仅为公开样题与考情摘要不能用于精确频次
2026,H1,case,1,IoT分层与时序数据库及MQTT,embedded_iot,iot|time_series_database|mqtt|qos,SRC-2026-H1-CASE-1,C,substantive,回忆内容较完整但仍非官方原卷
2026,H1,case,2,知识图谱推荐与冷启动,ai_data,knowledge_graph|recommendation|cold_start,SRC-2026-H1-CASE-2,C,partial,部分问题缺失
2026,H1,case,3,秒杀锁机制与Redis优化,high_concurrency,flash_sale|optimistic_lock|pessimistic_lock|redis,SRC-2026-H1-CASE-3,C,substantive,回忆内容较完整但仍非官方原卷
2026,H1,case,4,AIoT边缘架构与权衡,embedded_iot,aiot|edge_computing|tradeoff,SRC-2026-H1-CASE-4,C,partial,部分问题缺失
2026,H1,case,5,质量属性与管道过滤器,quality,quality_scenario|pipe_filter|security|realtime,SRC-2026-H1-CASE-5,C,substantive,回忆内容较完整但仍非官方原卷
2026,H1,essay,1,向量数据库应用,data_platform,vector_database|ai_data,SRC-2026-H1-ESSAY,C,substantive,主题级记录
2026,H1,essay,2,高并发系统设计与实践,high_concurrency,high_concurrency|performance|availability,SRC-2026-H1-ESSAY,C,substantive,主题级记录
2026,H1,essay,3,六边形架构设计与应用,architecture_style,hexagonal_architecture|ports_adapters,SRC-2026-H1-ESSAY,C,partial,来源页面的细分描述疑似存在转录错位需谨慎
2026,H1,essay,4,多模态大模型在移动智能测试中的应用,testing_ops,multimodal_llm|mobile_testing|ai_testing,SRC-2026-H1-ESSAY,C,substantive,主题级记录
